[2023-12-10 18:01:57,109] INFO _log() L225   * Restarting with stat - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:01:59,235] WARNING _log() L225   * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment. - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:01:59,249] INFO _log() L225   * Running on http://192.168.0.52:5000/ (Press CTRL+C to quit) - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:02:02,869] WARNING get_amostras() L51   Não há amostras cadastradas na base :/ - call_trace=C:\Users\wvpin\Desktop\Wanderson\PUC Eng Software\SprintIV_Qualidade_Seg_SistInteligentes\MVP\Entrega MVP\wanderson_mvplast\api\app.py L51  
[2023-12-10 18:02:02,870] INFO _log() L225  127.0.0.1 - - [10/Dec/2023 18:02:02] "[33mGET /amostras HTTP/1.1[0m" 404 - - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:02:03,697] WARNING get_amostras() L51   Não há amostras cadastradas na base :/ - call_trace=C:\Users\wvpin\Desktop\Wanderson\PUC Eng Software\SprintIV_Qualidade_Seg_SistInteligentes\MVP\Entrega MVP\wanderson_mvplast\api\app.py L51  
[2023-12-10 18:02:03,697] INFO _log() L225  127.0.0.1 - - [10/Dec/2023 18:02:03] "[33mGET /amostras HTTP/1.1[0m" 404 - - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:02:47,670] WARNING get_amostras() L51   Não há amostras cadastradas na base :/ - call_trace=C:\Users\wvpin\Desktop\Wanderson\PUC Eng Software\SprintIV_Qualidade_Seg_SistInteligentes\MVP\Entrega MVP\wanderson_mvplast\api\app.py L51  
[2023-12-10 18:02:47,671] INFO _log() L225  127.0.0.1 - - [10/Dec/2023 18:02:47] "[33mGET /amostras?cod=a010 HTTP/1.1[0m" 404 - - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:02:48,516] INFO _log() L225  127.0.0.1 - - [10/Dec/2023 18:02:48] "POST /amostra HTTP/1.1" 200 - - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:02:51,880] INFO _log() L225  127.0.0.1 - - [10/Dec/2023 18:02:51] "GET /amostras HTTP/1.1" 200 - - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:11:45,087] INFO _log() L225   * Restarting with stat - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:11:46,985] WARNING _log() L225   * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment. - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:11:46,987] INFO _log() L225   * Running on http://192.168.0.52:5000/ (Press CTRL+C to quit) - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:11:57,276] INFO _log() L225  127.0.0.1 - - [10/Dec/2023 18:11:57] "GET /amostras HTTP/1.1" 200 - - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
[2023-12-10 18:13:45,855] INFO _log() L225  127.0.0.1 - - [10/Dec/2023 18:13:45] "GET /amostras?cod=A020 HTTP/1.1" 200 - - call_trace=c:\users\wvpin\desktop\wanderson\puc eng software\sprintiv_qualidade_seg_sistinteligentes\mvp\entrega mvp\wanderson_mvplast\api\env\lib\site-packages\werkzeug\_internal.py L225 
